numeric_time,Temperature (C)
574680.0,-262.4106436813008
574800.0,-262.4116154360375
574920.0,-262.4126055081338
575160.0,-262.4136023476026
575280.0,-262.4145717252932
575400.0,-262.4155622199319
575520.0,-262.4165780798415
575640.0,-262.41757592348466
575760.0,-262.41860124128584
575880.0,-262.41959784017774
576000.0,-262.42059027183
576120.0,-262.4215643479605
576240.0,-262.4225640842662
576360.0,-262.4235573634964
576600.0,-262.4245610799157
576720.0,-262.4255201717124
576840.0,-262.4265061591405
576960.0,-262.42751955629853
577080.0,-262.4284896213053
577200.0,-262.42950261721734
577320.0,-262.4304851855367
577440.0,-262.4314644713963
577560.0,-262.4324625319363
577680.0,-262.4334408226717
577800.0,-262.4344536558505
578040.0,-262.4354679361583
578160.0,-262.43644090904326
578280.0,-262.43742659551526
578400.0,-262.4384015099302
578520.0,-262.4393689072332
578640.0,-262.4403625697271
578760.0,-262.44136706342766
578880.0,-262.4423308431489
579000.0,-262.4433350423926
579120.0,-262.44431264180736
579240.0,-262.4452935915847
579480.0,-262.4463074063584
579600.0,-262.4061908056963
579720.0,-262.4071788579443
579840.0,-262.40815370380085
579960.0,-262.4091341806014
580080.0,-262.4101363820056
580200.0,-262.4111513199337
580320.0,-262.4121283532315
580440.0,-262.41312378159824
580560.0,-262.4141280732029
580680.0,-262.4151081487837
580920.0,-262.4161079708543
581040.0,-262.41706738524647
581160.0,-262.4180502264913
581280.0,-262.41907079111087
581400.0,-262.4200539748692
581520.0,-262.42106459407194
581640.0,-262.4220702309059
581760.0,-262.42305088889333
581880.0,-262.42403789613667
582000.0,-262.42502229751324
582120.0,-262.426028719297
582360.0,-262.426994218102
582480.0,-262.4279692058033
582600.0,-262.42897001106115
582720.0,-262.4299345121577
582840.0,-262.4309379504619
582960.0,-262.431952924945
583080.0,-262.4329176678418
583200.0,-262.43389889120186
583320.0,-262.4348937999928
583440.0,-262.43590541802314
583560.0,-262.4368823679847
583800.0,-262.43788070356345
583920.0,-262.4389031371835
584040.0,-262.4398754359915
584160.0,-262.4408495477209
584280.0,-262.44184871509805
584400.0,-262.4428386647142
584520.0,-262.44383921048416
584640.0,-262.4448107981882
584760.0,-262.4458276980323
584880.0,-262.44680188248617
585120.0,-262.44782668041825
585240.0,-262.4487948087332
585360.0,-262.4497548695495
585480.0,-262.45071988310923
585600.0,-262.4516915100252
585720.0,-262.4526673991695
585840.0,-262.4536417304035
585960.0,-262.45458910345275
586080.0,-262.4555791676885
586200.0,-262.4565826489233
586320.0,-262.45757642068963
586560.0,-262.4585358640747
